n,W,family,instance_idx,solver,value,optimal_value,opt_gap_pct,weight,capacity,feasible,time_s,items_selected
20,50,correlated,15,dp,70,70,0.0,50,50,True,0.000546,7
20,50,correlated,15,greedy,67,70,4.29,46,50,True,3.2e-05,7
20,50,correlated,15,ml_rf,35,70,50.0,17,50,True,0.142286,5
20,50,correlated,15,ml_mlp,35,70,50.0,17,50,True,0.001593,5
20,50,correlated,16,dp,69,69,0.0,50,50,True,0.000519,7
20,50,correlated,16,greedy,68,69,1.45,50,50,True,3.3e-05,8
20,50,correlated,16,ml_rf,34,69,50.72,20,50,True,0.114278,5
20,50,correlated,16,ml_mlp,63,69,8.7,44,50,True,0.001181,6
20,50,correlated,17,dp,70,70,0.0,50,50,True,0.000366,5
20,50,correlated,17,greedy,67,70,4.29,49,50,True,2.5e-05,9
20,50,correlated,17,ml_rf,45,70,35.71,29,50,True,0.132394,5
20,50,correlated,17,ml_mlp,63,70,10.0,43,50,True,0.001232,7
20,50,correlated,18,dp,66,66,0.0,49,50,True,0.000525,6
20,50,correlated,18,greedy,66,66,0.0,49,50,True,3.2e-05,6
20,50,correlated,18,ml_rf,46,66,30.3,32,50,True,0.122504,5
20,50,correlated,18,ml_mlp,46,66,30.3,32,50,True,0.004007,5
20,50,correlated,19,dp,69,69,0.0,48,50,True,0.000247,5
20,50,correlated,19,greedy,68,69,1.45,45,50,True,1.6e-05,6
20,50,correlated,19,ml_rf,68,69,1.45,45,50,True,0.146801,6
20,50,correlated,19,ml_mlp,68,69,1.45,45,50,True,0.00091,6
20,50,adversarial,0,dp,131,131,0.0,50,50,True,0.000381,6
20,50,adversarial,0,greedy,88,131,32.82,47,50,True,2.4e-05,18
20,50,adversarial,0,ml_rf,59,131,54.96,19,50,True,0.137825,7
20,50,adversarial,0,ml_mlp,70,131,46.56,29,50,True,0.008734,10
20,50,adversarial,1,dp,108,108,0.0,50,50,True,0.000575,9
20,50,adversarial,1,greedy,108,108,0.0,50,50,True,3.4e-05,9
20,50,adversarial,1,ml_rf,38,108,64.81,16,50,True,0.146059,8
20,50,adversarial,1,ml_mlp,51,108,52.78,28,50,True,0.000805,12
20,50,adversarial,2,dp,122,122,0.0,50,50,True,0.000548,5
20,50,adversarial,2,greedy,91,122,25.41,49,50,True,3.5e-05,19
20,50,adversarial,2,ml_rf,67,122,45.08,26,50,True,0.122481,9
20,50,adversarial,2,ml_mlp,75,122,38.52,33,50,True,0.001127,12
20,50,adversarial,3,dp,131,131,0.0,50,50,True,0.00053,7
20,50,adversarial,3,greedy,102,131,22.14,49,50,True,3.5e-05,17
20,50,adversarial,3,ml_rf,76,131,41.98,24,50,True,0.132228,7
20,50,adversarial,3,ml_mlp,91,131,30.53,38,50,True,0.000802,11
20,50,adversarial,4,dp,122,122,0.0,50,50,True,0.000381,6
20,50,adversarial,4,greedy,79,122,35.25,42,50,True,2.3e-05,19
20,50,adversarial,4,ml_rf,57,122,53.28,21,50,True,0.131784,9
20,50,adversarial,4,ml_mlp,64,122,47.54,27,50,True,0.000765,11
20,50,adversarial,5,dp,106,106,0.0,50,50,True,0.000426,8
20,50,adversarial,5,greedy,106,106,0.0,50,50,True,2.4e-05,9
20,50,adversarial,5,ml_rf,39,106,63.21,19,50,True,0.123065,9
20,50,adversarial,5,ml_mlp,45,106,57.55,24,50,True,0.010137,11
20,50,adversarial,6,dp,123,123,0.0,50,50,True,0.000549,8
20,50,adversarial,6,greedy,123,123,0.0,50,50,True,3e-05,8
20,50,adversarial,6,ml_rf,59,123,52.03,21,50,True,0.131397,9
20,50,adversarial,6,ml_mlp,63,123,48.78,25,50,True,0.001571,10
20,50,adversarial,7,dp,120,120,0.0,50,50,True,0.000543,6
20,50,adversarial,7,greedy,90,120,25.0,46,50,True,3.2e-05,19
20,50,adversarial,7,ml_rf,65,120,45.83,21,50,True,0.126204,8
20,50,adversarial,7,ml_mlp,74,120,38.33,30,50,True,0.000814,12
20,50,adversarial,8,dp,113,113,0.0,50,50,True,0.000398,8
20,50,adversarial,8,greedy,113,113,0.0,50,50,True,2.4e-05,8
20,50,adversarial,8,ml_rf,47,113,58.41,22,50,True,0.130953,9
20,50,adversarial,8,ml_mlp,56,113,50.44,30,50,True,0.000922,11
20,50,adversarial,9,dp,113,113,0.0,50,50,True,0.000399,9
20,50,adversarial,9,greedy,113,113,0.0,50,50,True,3e-05,9
20,50,adversarial,9,ml_rf,112,113,0.88,49,50,True,0.135881,8
20,50,adversarial,9,ml_mlp,50,113,55.75,26,50,True,0.001445,11
20,50,adversarial,10,dp,123,123,0.0,50,50,True,0.00038,6
20,50,adversarial,10,greedy,97,123,21.14,49,50,True,2.4e-05,18
20,50,adversarial,10,ml_rf,79,123,35.77,31,50,True,0.130605,9
20,50,adversarial,10,ml_mlp,82,123,33.33,34,50,True,0.009824,10
20,50,adversarial,11,dp,136,136,0.0,50,50,True,0.000528,6
20,50,adversarial,11,greedy,101,136,25.74,50,50,True,3.6e-05,18
20,50,adversarial,11,ml_rf,78,136,42.65,28,50,True,0.124739,8
20,50,adversarial,11,ml_mlp,85,136,37.5,34,50,True,0.001143,11
20,50,adversarial,12,dp,119,119,0.0,50,50,True,0.000373,9
20,50,adversarial,12,greedy,119,119,0.0,50,50,True,2.4e-05,9
20,50,adversarial,12,ml_rf,59,119,50.42,22,50,True,0.12994,8
20,50,adversarial,12,ml_mlp,70,119,41.18,32,50,True,0.001173,11
20,50,adversarial,13,dp,130,130,0.0,50,50,True,0.00062,6
20,50,adversarial,13,greedy,91,130,30.0,49,50,True,3.7e-05,18
20,50,adversarial,13,ml_rf,64,130,50.77,23,50,True,0.137497,8
20,50,adversarial,13,ml_mlp,71,130,45.38,29,50,True,0.002621,10
20,50,adversarial,14,dp,132,132,0.0,50,50,True,0.000563,7
20,50,adversarial,14,greedy,90,132,31.82,49,50,True,3.7e-05,18
20,50,adversarial,14,ml_rf,63,132,52.27,23,50,True,0.152405,8
20,50,adversarial,14,ml_mlp,76,132,42.42,35,50,True,0.002024,11
20,50,adversarial,15,dp,121,121,0.0,50,50,True,0.000593,6
20,50,adversarial,15,greedy,76,121,37.19,43,50,True,4.2e-05,19
20,50,adversarial,15,ml_rf,52,121,57.02,21,50,True,0.139477,8
20,50,adversarial,15,ml_mlp,60,121,50.41,27,50,True,0.001261,10
20,50,adversarial,16,dp,136,136,0.0,50,50,True,0.00039,6
20,50,adversarial,16,greedy,114,136,16.18,50,50,True,2.5e-05,17
20,50,adversarial,16,ml_rf,93,136,31.62,30,50,True,0.092945,8
20,50,adversarial,16,ml_mlp,100,136,26.47,36,50,True,0.011668,10
20,50,adversarial,17,dp,119,119,0.0,50,50,True,0.000558,9
20,50,adversarial,17,greedy,119,119,0.0,50,50,True,3.6e-05,10
20,50,adversarial,17,ml_rf,115,119,3.36,47,50,True,0.135367,9
20,50,adversarial,17,ml_mlp,55,119,53.78,21,50,True,0.001832,9
20,50,adversarial,18,dp,137,137,0.0,50,50,True,0.000709,7
20,50,adversarial,18,greedy,99,137,27.74,50,50,True,2.7e-05,19
20,50,adversarial,18,ml_rf,74,137,45.99,26,50,True,0.130085,8
20,50,adversarial,18,ml_mlp,83,137,39.42,34,50,True,0.001879,12
20,50,adversarial,19,dp,131,131,0.0,50,50,True,0.000542,7
20,50,adversarial,19,greedy,97,131,25.95,50,50,True,3.6e-05,18
20,50,adversarial,19,ml_rf,75,131,42.75,29,50,True,0.132944,9
20,50,adversarial,19,ml_mlp,81,131,38.17,34,50,True,0.001701,11
50,100,uncorrelated,0,dp,368,368,0.0,99,100,True,0.001515,10
50,100,uncorrelated,0,greedy,368,368,0.0,100,100,True,3.9e-05,11
50,100,uncorrelated,0,ml_rf,360,368,2.17,96,100,True,0.131361,10
50,100,uncorrelated,0,ml_mlp,325,368,11.68,70,100,True,0.00189,9
50,100,uncorrelated,1,dp,343,343,0.0,99,100,True,0.00175,8
50,100,uncorrelated,1,greedy,338,343,1.46,100,100,True,4.1e-05,10
50,100,uncorrelated,1,ml_rf,343,343,0.0,99,100,True,0.148118,8
50,100,uncorrelated,1,ml_mlp,308,343,10.2,80,100,True,0.002354,8
50,100,uncorrelated,2,dp,393,393,0.0,98,100,True,0.002324,12
50,100,uncorrelated,2,greedy,393,393,0.0,98,100,True,5.7e-05,12
50,100,uncorrelated,2,ml_rf,374,393,4.83,88,100,True,0.143524,11
50,100,uncorrelated,2,ml_mlp,393,393,0.0,98,100,True,0.006726,12
50,100,uncorrelated,3,dp,391,391,0.0,97,100,True,0.002328,10
50,100,uncorrelated,3,greedy,391,391,0.0,97,100,True,6e-05,10
50,100,uncorrelated,3,ml_rf,363,391,7.16,86,100,True,0.137889,9
50,100,uncorrelated,3,ml_mlp,391,391,0.0,97,100,True,0.003415,10
50,100,uncorrelated,4,dp,450,450,0.0,99,100,True,0.002622,13
50,100,uncorrelated,4,greedy,450,450,0.0,99,100,True,6.1e-05,13
50,100,uncorrelated,4,ml_rf,434,450,3.56,92,100,True,0.131469,12
50,100,uncorrelated,4,ml_mlp,421,450,6.44,83,100,True,0.001372,12
50,100,uncorrelated,5,dp,369,369,0.0,96,100,True,0.00182,10
50,100,uncorrelated,5,greedy,357,369,3.25,90,100,True,3.8e-05,10
50,100,uncorrelated,5,ml_rf,369,369,0.0,96,100,True,0.146674,10
