problem,method,family,instance_id,n,objective_value,optimality_gap,runtime_seconds
scheduling,ML_RF,sparse,19,50,1928,0.0010362694300518134,0.0268971000041347
scheduling,ML_MLP,sparse,19,50,1925,0.0025906735751295338,0.0010790000087581575
scheduling,DP,dense,20,20,282.0,0.0,2.0899999071843922e-05
scheduling,Greedy_EF,dense,20,20,273.0,0.031914893617021274,1.2100004823878407e-05
scheduling,Greedy_HW,dense,20,20,205.0,0.2730496453900709,8.29999044071883e-06
scheduling,Greedy_BR,dense,20,20,279.0,0.010638297872340425,1.3900003978051245e-05
scheduling,ML_RF,dense,20,20,273,0.031914893617021274,0.026706099990406074
scheduling,ML_MLP,dense,20,20,280,0.0070921985815602835,0.0007974999898578972
scheduling,DP,dense,21,20,288.0,0.0,2.1800005924887955e-05
scheduling,Greedy_EF,dense,21,20,171.0,0.40625,1.3500000932253897e-05
scheduling,Greedy_HW,dense,21,20,200.0,0.3055555555555556,8.90000956133008e-06
scheduling,Greedy_BR,dense,21,20,188.0,0.3472222222222222,1.3699987903237343e-05
scheduling,ML_RF,dense,21,20,288,0.0,0.02668690000427887
scheduling,ML_MLP,dense,21,20,288,0.0,0.0007507999980589375
scheduling,DP,dense,22,20,325.0,0.0,2.1400002879090607e-05
scheduling,Greedy_EF,dense,22,20,184.0,0.4338461538461538,1.2299991794861853e-05
scheduling,Greedy_HW,dense,22,20,325.0,0.0,8.699993486516178e-06
scheduling,Greedy_BR,dense,22,20,284.0,0.12615384615384614,1.4600009308196604e-05
scheduling,ML_RF,dense,22,20,284,0.12615384615384614,0.02578419999917969
scheduling,ML_MLP,dense,22,20,284,0.12615384615384614,0.0008169999928213656
scheduling,DP,dense,23,20,194.0,0.0,2.0800012862309813e-05
scheduling,Greedy_EF,dense,23,20,132.0,0.31958762886597936,1.0900010238401592e-05
scheduling,Greedy_HW,dense,23,20,194.0,0.0,7.499998901039362e-06
scheduling,Greedy_BR,dense,23,20,166.0,0.14432989690721648,1.1900003300979733e-05
scheduling,ML_RF,dense,23,20,166,0.14432989690721648,0.027523099997779354
scheduling,ML_MLP,dense,23,20,166,0.14432989690721648,0.0006570000114152208
scheduling,DP,dense,24,20,466.0,0.0,2.19999928958714e-05
scheduling,Greedy_EF,dense,24,20,466.0,0.0,1.3299999409355223e-05
scheduling,Greedy_HW,dense,24,20,466.0,0.0,9.099996532313526e-06
scheduling,Greedy_BR,dense,24,20,348.0,0.2532188841201717,1.7300000763498247e-05
scheduling,ML_RF,dense,24,20,445,0.045064377682403435,0.025446700004977174
scheduling,ML_MLP,dense,24,20,369,0.20815450643776823,0.0009608999971533194
scheduling,DP,dense,25,20,361.0,0.0,2.1200001356191933e-05
scheduling,Greedy_EF,dense,25,20,274.0,0.2409972299168975,1.2299991794861853e-05
scheduling,Greedy_HW,dense,25,20,333.0,0.07756232686980609,8.999995770864189e-06
scheduling,Greedy_BR,dense,25,20,361.0,0.0,1.3700002455152571e-05
scheduling,ML_RF,dense,25,20,361,0.0,0.02520209999056533
scheduling,ML_MLP,dense,25,20,361,0.0,0.0007643999997526407
scheduling,DP,dense,26,20,377.0,0.0,2.1799991372972727e-05
scheduling,Greedy_EF,dense,26,20,341.0,0.09549071618037135,1.3500000932253897e-05
scheduling,Greedy_HW,dense,26,20,283.0,0.2493368700265252,8.699993486516178e-06
scheduling,Greedy_BR,dense,26,20,377.0,0.0,1.5099998563528061e-05
scheduling,ML_RF,dense,26,20,377,0.0,0.02559340000152588
scheduling,ML_MLP,dense,26,20,377,0.0,0.0008625999907962978
scheduling,DP,dense,27,20,265.0,0.0,6.970000686123967e-05
scheduling,Greedy_EF,dense,27,20,197.0,0.25660377358490566,4.130000888835639e-05
scheduling,Greedy_HW,dense,27,20,215.0,0.18867924528301888,9.099996532313526e-06
scheduling,Greedy_BR,dense,27,20,252.0,0.04905660377358491,1.9399987650103867e-05
scheduling,ML_RF,dense,27,20,265,0.0,0.025871499994536862
scheduling,ML_MLP,dense,27,20,265,0.0,0.001080700007150881
scheduling,DP,dense,28,20,177.0,0.0,2.0699997548945248e-05
scheduling,Greedy_EF,dense,28,20,169.0,0.04519774011299435,1.2099990271963179e-05
scheduling,Greedy_HW,dense,28,20,93.0,0.4745762711864407,7.399998139590025e-06
scheduling,Greedy_BR,dense,28,20,169.0,0.04519774011299435,1.2699994840659201e-05
scheduling,ML_RF,dense,28,20,169,0.04519774011299435,0.024868699998478405
scheduling,ML_MLP,dense,28,20,169,0.04519774011299435,0.0007145000126911327
scheduling,DP,dense,29,20,316.0,0.0,2.1500003640539944e-05
scheduling,Greedy_EF,dense,29,20,243.0,0.2310126582278481,1.2499993317760527e-05
scheduling,Greedy_HW,dense,29,20,283.0,0.10443037974683544,8.700008038431406e-06
scheduling,Greedy_BR,dense,29,20,285.0,0.0981012658227848,1.5199999324977398e-05
scheduling,ML_RF,dense,29,20,243,0.2310126582278481,0.02604810000048019
scheduling,ML_MLP,dense,29,20,243,0.2310126582278481,0.0007949999999254942
scheduling,DP,dense,30,50,484.0,0.0,6.810000922996551e-05
scheduling,Greedy_EF,dense,30,50,294.0,0.3925619834710744,2.580000727903098e-05
scheduling,Greedy_HW,dense,30,50,269.0,0.44421487603305787,1.750000228639692e-05
scheduling,Greedy_BR,dense,30,50,442.0,0.08677685950413223,2.9800008633174002e-05
scheduling,ML_RF,dense,30,50,455,0.05991735537190083,0.026155799991101958
scheduling,ML_MLP,dense,30,50,442,0.08677685950413223,0.001257600000826642
scheduling,DP,dense,31,50,643.0,0.0,6.779999239370227e-05
scheduling,Greedy_EF,dense,31,50,529.0,0.17729393468118196,2.680000034160912e-05
scheduling,Greedy_HW,dense,31,50,643.0,0.0,1.9800005247816443e-05
scheduling,Greedy_BR,dense,31,50,548.0,0.14774494556765164,3.1499992473982275e-05
scheduling,ML_RF,dense,31,50,632,0.017107309486780714,0.026428500001202337
scheduling,ML_MLP,dense,31,50,632,0.017107309486780714,0.001327499994658865
scheduling,DP,dense,32,50,502.0,0.0,6.710000161547214e-05
scheduling,Greedy_EF,dense,32,50,420.0,0.16334661354581673,2.6699999580159783e-05
scheduling,Greedy_HW,dense,32,50,362.0,0.2788844621513944,1.759998849593103e-05
scheduling,Greedy_BR,dense,32,50,487.0,0.029880478087649404,3.0099996365606785e-05
scheduling,ML_RF,dense,32,50,487,0.029880478087649404,0.026783399996929802
scheduling,ML_MLP,dense,32,50,487,0.029880478087649404,0.001142900000559166
scheduling,DP,dense,33,50,515.0,0.0,6.859999848529696e-05
scheduling,Greedy_EF,dense,33,50,434.0,0.15728155339805824,2.580000727903098e-05
scheduling,Greedy_HW,dense,33,50,417.0,0.19029126213592232,1.789999078027904e-05
scheduling,Greedy_BR,dense,33,50,506.0,0.017475728155339806,2.9999995604157448e-05
scheduling,ML_RF,dense,33,50,500,0.02912621359223301,0.025728499997057952
scheduling,ML_MLP,dense,33,50,506,0.017475728155339806,0.0014961000124458224
scheduling,DP,dense,34,50,395.0,0.0,6.720000237692147e-05
scheduling,Greedy_EF,dense,34,50,286.0,0.2759493670886076,2.3599990527145565e-05
scheduling,Greedy_HW,dense,34,50,266.0,0.3265822784810127,1.6399993910454214e-05
